HK17; test nb;Test Descripcion;degree;oa;ob;m;n;r;s;f;h;rA;rB;k1;k2
HK17;11;64-bits KEM - HK17-O-64 - 8-bits version;16;(2, 222, 128, 222, 137, 193, 20, 134);(19, 105, 89, 155, 187, 138, 214, 48);178;65;74;102;[(50, 15), (100, 14), (204, 13), (5, 12), (244, 11), (99, 10), (229, 9), (160, 8), (137, 7), (37, 6), (101, 5), (35, 4), (52, 3), (145, 2), (196, 1), (224, 0)];[(52, 15), (240, 14), (208, 13), (29, 12), (204, 11), (10, 10), (187, 9), (58, 8), (20, 7), (134, 6), (153, 5), (109, 4), (127, 3), (12, 2), (3, 1), (215, 0)];(212, 178, 105, 123, 227, 109, 205, 42);(237, 17, 195, 202, 217, 224, 127, 154);(144, 108, 76, 170, 202, 26, 151, 118);(144, 108, 76, 170, 202, 26, 151, 118)
HK17;12;64-bits KEM - HK17-O-64 - 8-bits version;16;(197, 40, 194, 241, 114, 77, 50, 190);(173, 97, 188, 21, 32, 169, 85, 28);24;34;90;218;[(93, 15), (131, 14), (8, 13), (205, 12), (3, 11), (46, 10), (86, 9), (199, 8), (98, 7), (151, 6), (20, 5), (152, 4), (1, 3), (143, 2), (117, 1), (230, 0)];[(29, 15), (183, 14), (235, 13), (134, 12), (197, 11), (20, 10), (140, 9), (185, 8), (250, 7), (247, 6), (185, 5), (96, 4), (118, 3), (243, 2), (140, 1), (177, 0)];(43, 114, 195, 31, 59, 112, 126, 119);(16, 76, 76, 92, 88, 229, 235, 139);(141, 102, 138, 247, 99, 204, 103, 200);(141, 102, 138, 247, 99, 204, 103, 200)
HK17;13;64-bits KEM - HK17-O-64 - 8-bits version;16;(46, 85, 42, 240, 205, 235, 16, 166);(28, 131, 77, 160, 90, 144, 3, 25);78;140;115;128;[(59, 15), (250, 14), (242, 13), (81, 12), (10, 11), (67, 10), (97, 9), (113, 8), (36, 7), (173, 6), (41, 5), (99, 4), (187, 3), (168, 2), (212, 1), (126, 0)];[(98, 15), (87, 14), (16, 13), (114, 12), (208, 11), (150, 10), (181, 9), (51, 8), (146, 7), (61, 6), (217, 5), (132, 4), (70, 3), (79, 2), (90, 1), (33, 0)];(161, 200, 202, 19, 162, 166, 176, 6);(203, 244, 210, 100, 92, 105, 174, 153);(107, 44, 217, 178, 62, 36, 23, 38);(107, 44, 217, 178, 62, 36, 23, 38)
HK17;14;64-bits KEM - HK17-O-64 - 8-bits version;16;(178, 40, 140, 245, 49, 228, 48, 37);(198, 120, 181, 246, 201, 70, 122, 218);67;163;241;111;[(158, 15), (103, 14), (46, 13), (142, 12), (187, 11), (138, 10), (223, 9), (212, 8), (220, 7), (131, 6), (72, 5), (172, 4), (96, 3), (110, 2), (28, 1), (139, 0)];[(88, 15), (6, 14), (11, 13), (57, 12), (90, 11), (154, 10), (224, 9), (247, 8), (1, 7), (239, 6), (177, 5), (33, 4), (99, 3), (88, 2), (116, 1), (109, 0)];(128, 155, 54, 156, 211, 114, 28, 123);(46, 89, 101, 49, 204, 11, 58, 215);(5, 157, 34, 13, 186, 108, 231, 196);(5, 157, 34, 13, 186, 108, 231, 196)
HK17;15;64-bits KEM - HK17-O-64 - 8-bits version;16;(20, 20, 73, 95, 96, 100, 201, 142);(202, 9, 205, 208, 98, 66, 35, 8);160;174;53;195;[(180, 15), (69, 14), (10, 13), (14, 12), (172, 11), (6, 10), (241, 9), (13, 8), (136, 7), (222, 6), (202, 5), (25, 4), (158, 3), (127, 2), (72, 1), (141, 0)];[(89, 15), (235, 14), (232, 13), (220, 12), (92, 11), (160, 10), (126, 9), (161, 8), (107, 7), (130, 6), (101, 5), (117, 4), (1, 3), (232, 2), (175, 1), (92, 0)];(176, 32, 97, 107, 39, 110, 210, 56);(62, 61, 22, 205, 196, 194, 125, 170);(141, 87, 90, 99, 239, 23, 22, 62);(141, 87, 90, 99, 239, 23, 22, 62)
HK17;16;64-bits KEM - HK17-O-64 - 8-bits version;16;(90, 216, 245, 5, 38, 17, 10, 49);(205, 74, 216, 147, 126, 108, 109, 30);192;15;210;197;[(61, 15), (244, 14), (199, 13), (33, 12), (20, 11), (217, 10), (166, 9), (121, 8), (26, 7), (240, 6), (195, 5), (216, 4), (131, 3), (94, 2), (20, 1), (26, 0)];[(12, 15), (7, 14), (173, 13), (48, 12), (173, 11), (43, 10), (38, 9), (5, 8), (35, 7), (231, 6), (105, 5), (137, 4), (229, 3), (63, 2), (241, 1), (119, 0)];(84, 12, 231, 55, 125, 114, 167, 226);(45, 73, 131, 187, 200, 86, 18, 73);(179, 51, 142, 152, 80, 51, 218, 166);(179, 51, 142, 152, 80, 51, 218, 166)
HK17;17;64-bits KEM - HK17-O-64 - 8-bits version;16;(233, 225, 43, 102, 167, 203, 199, 122);(107, 41, 96, 157, 114, 31, 108, 166);176;113;187;235;[(156, 15), (227, 14), (86, 13), (72, 12), (218, 11), (116, 10), (113, 9), (86, 8), (92, 7), (180, 6), (179, 5), (187, 4), (196, 3), (142, 2), (141, 1), (235, 0)];[(198, 15), (235, 14), (58, 13), (9, 12), (181, 11), (47, 10), (219, 9), (188, 8), (152, 7), (34, 6), (185, 5), (231, 4), (92, 3), (24, 2), (72, 1), (188, 0)];(245, 162, 12, 80, 228, 232, 32, 140);(39, 44, 114, 19, 24, 111, 33, 148);(72, 186, 99, 214, 55, 211, 37, 104);(72, 186, 99, 214, 55, 211, 37, 104)
HK17;18;64-bits KEM - HK17-O-64 - 8-bits version;16;(228, 241, 200, 226, 199, 48, 4, 49);(45, 203, 82, 118, 138, 97, 16, 134);193;181;160;160;[(108, 15), (113, 14), (116, 13), (25, 12), (103, 11), (66, 10), (237, 9), (81, 8), (196, 7), (129, 6), (160, 5), (126, 4), (13, 3), (250, 2), (120, 1), (212, 0)];[(29, 15), (209, 14), (26, 13), (30, 12), (23, 11), (240, 10), (238, 9), (132, 8), (10, 7), (144, 6), (2, 5), (29, 4), (149, 3), (160, 2), (246, 1), (173, 0)];(201, 155, 220, 109, 184, 182, 149, 31);(10, 194, 131, 113, 195, 202, 105, 212);(77, 193, 88, 130, 45, 205, 122, 110);(77, 193, 88, 130, 45, 205, 122, 110)
HK17;19;64-bits KEM - HK17-O-64 - 8-bits version;16;(16, 210, 41, 236, 3, 14, 64, 42);(40, 136, 101, 138, 208, 128, 169, 201);81;106;118;131;[(234, 15), (78, 14), (164, 13), (223, 12), (91, 11), (10, 10), (232, 9), (141, 8), (108, 7), (47, 6), (23, 5), (122, 4), (143, 3), (115, 2), (228, 1), (116, 0)];[(24, 15), (75, 14), (127, 13), (76, 12), (11, 11), (102, 10), (30, 9), (235, 8), (23, 7), (201, 6), (26, 5), (222, 4), (221, 3), (155, 2), (200, 1), (205, 0)];(149, 141, 220, 209, 151, 165, 198, 6);(74, 164, 121, 120, 58, 85, 20, 191);(231, 155, 90, 87, 158, 89, 34, 21);(231, 155, 90, 87, 158, 89, 34, 21)
HK17;20;64-bits KEM - HK17-O-64 - 8-bits version;16;(178, 68, 77, 183, 196, 136, 42, 139);(64, 83, 209, 30, 196, 131, 100, 152);51;231;134;127;[(247, 15), (14, 14), (195, 13), (245, 12), (186, 11), (17, 10), (30, 9), (132, 8), (31, 7), (223, 6), (60, 5), (194, 4), (156, 3), (121, 2), (163, 1), (231, 0)];[(98, 15), (59, 14), (104, 13), (51, 12), (158, 11), (199, 10), (2, 9), (71, 8), (90, 7), (148, 6), (178, 5), (58, 4), (108, 3), (7, 2), (15, 1), (3, 0)];(69, 30, 73, 22, 80, 64, 123, 193);(180, 7, 15, 96, 49, 51, 1, 204);(203, 157, 42, 152, 40, 32, 100, 215);(203, 157, 42, 152, 40, 32, 100, 215)
HK17;21;64-bits KEM - HK17-O-64 - 8-bits version;16;(242, 198, 172, 118, 245, 120, 135, 66);(160, 36, 63, 189, 114, 127, 178, 187);149;119;22;31;[(43, 15), (13, 14), (42, 13), (24, 12), (216, 11), (107, 10), (116, 9), (206, 8), (221, 7), (33, 6), (250, 5), (230, 4), (174, 3), (199, 2), (210, 1), (233, 0)];[(38, 15), (1, 14), (238, 13), (153, 12), (200, 11), (9, 10), (6, 9), (178, 8), (124, 7), (36, 6), (160, 5), (210, 4), (90, 3), (159, 2), (77, 1), (183, 0)];(65, 40, 208, 195, 119, 38, 47, 128);(190, 66, 106, 119, 178, 204, 145, 11);(66, 0, 230, 175, 114, 45, 196, 49);(66, 0, 230, 175, 114, 45, 196, 49)
HK17;22;64-bits KEM - HK17-O-64 - 8-bits version;16;(27, 38, 131, 132, 241, 107, 209, 141);(8, 69, 27, 196, 68, 231, 106, 143);50;92;27;78;[(212, 15), (8, 14), (57, 13), (219, 12), (116, 11), (141, 10), (242, 9), (234, 8), (247, 7), (166, 6), (39, 5), (173, 4), (141, 3), (183, 2), (235, 1), (1, 0)];[(180, 15), (235, 14), (172, 13), (154, 12), (15, 11), (133, 10), (121, 9), (164, 8), (133, 7), (157, 6), (70, 5), (109, 4), (107, 3), (113, 2), (127, 1), (167, 0)];(205, 95, 210, 10, 173, 216, 233, 129);(55, 124, 213, 111, 30, 92, 62, 238);(117, 177, 195, 83, 18, 125, 2, 223);(117, 177, 195, 83, 18, 125, 2, 223)
HK17;23;64-bits KEM - HK17-O-64 - 8-bits version;16;(115, 31, 180, 231, 104, 42, 65, 48);(206, 22, 160, 72, 163, 201, 174, 239);44;23;190;159;[(151, 15), (232, 14), (116, 13), (64, 12), (101, 11), (169, 10), (233, 9), (196, 8), (166, 7), (11, 6), (162, 5), (114, 4), (112, 3), (68, 2), (131, 1), (207, 0)];[(179, 15), (157, 14), (108, 13), (187, 12), (123, 11), (110, 10), (138, 9), (71, 8), (153, 7), (182, 6), (90, 5), (26, 4), (163, 3), (64, 2), (121, 1), (32, 0)];(175, 146, 199, 142, 174, 190, 112, 32);(169, 111, 123, 59, 31, 133, 172, 144);(186, 208, 96, 235, 220, 250, 117, 122);(186, 208, 96, 235, 220, 250, 117, 122)
HK17;24;64-bits KEM - HK17-O-64 - 8-bits version;16;(135, 37, 171, 242, 213, 184, 80, 170);(2, 241, 216, 226, 23, 184, 231, 226);84;184;7;21;[(229, 15), (49, 14), (202, 13), (16, 12), (245, 11), (219, 10), (203, 9), (51, 8), (103, 7), (202, 6), (197, 5), (181, 4), (236, 3), (116, 2), (138, 1), (81, 0)];[(31, 15), (85, 14), (180, 13), (194, 12), (153, 11), (45, 10), (218, 9), (79, 8), (108, 7), (188, 6), (38, 5), (240, 4), (167, 3), (185, 2), (197, 1), (203, 0)];(14, 138, 151, 150, 95, 210, 222, 218);(205, 135, 103, 12, 186, 7, 250, 124);(112, 186, 231, 137, 135, 125, 8, 136);(112, 186, 231, 137, 135, 125, 8, 136)
HK17;25;64-bits KEM - HK17-O-64 - 8-bits version;16;(36, 80, 45, 49, 10, 101, 108, 191);(228, 122, 60, 166, 115, 136, 210, 105);108;51;90;112;[(37, 15), (31, 14), (135, 13), (195, 12), (142, 11), (144, 10), (57, 9), (195, 8), (131, 7), (24, 6), (199, 5), (7, 4), (179, 3), (40, 2), (38, 1), (3, 0)];[(205, 15), (3, 14), (160, 13), (85, 12), (193, 11), (78, 10), (172, 9), (87, 8), (146, 7), (235, 6), (85, 5), (35, 4), (19, 3), (119, 2), (248, 1), (202, 0)];(120, 229, 84, 144, 193, 109, 239, 77);(8, 41, 10, 102, 29, 23, 54, 102);(218, 81, 141, 142, 43, 47, 40, 154);(218, 81, 141, 142, 43, 47, 40, 154)
HK17;26;64-bits KEM - HK17-O-64 - 8-bits version;16;(118, 61, 158, 159, 119, 104, 2, 54);(115, 19, 195, 142, 154, 188, 113, 120);117;239;95;24;[(65, 15), (81, 14), (120, 13), (121, 12), (196, 11), (113, 10), (100, 9), (192, 8), (86, 7), (11, 6), (31, 5), (92, 4), (3, 3), (16, 2), (97, 1), (94, 0)];[(90, 15), (230, 14), (10, 13), (9, 12), (37, 11), (14, 10), (46, 9), (83, 8), (107, 7), (196, 6), (216, 5), (160, 4), (33, 3), (35, 2), (129, 1), (163, 0)];(196, 59, 207, 50, 224, 145, 15, 170);(7, 71, 247, 151, 199, 75, 154, 188);(145, 12, 9, 171, 114, 158, 166, 235);(145, 12, 9, 171, 114, 158, 166, 235)
HK17;27;64-bits KEM - HK17-O-64 - 8-bits version;16;(88, 146, 20, 30, 41, 28, 185, 118);(159, 84, 50, 17, 149, 123, 116, 205);92;163;159;66;[(59, 15), (177, 14), (216, 13), (109, 12), (174, 11), (209, 10), (35, 9), (75, 8), (15, 7), (177, 6), (2, 5), (165, 4), (32, 3), (93, 2), (239, 1), (207, 0)];[(111, 15), (94, 14), (16, 13), (237, 12), (60, 11), (58, 10), (56, 9), (165, 8), (20, 7), (49, 6), (135, 5), (170, 4), (26, 3), (40, 2), (117, 1), (11, 0)];(131, 117, 180, 114, 155, 123, 152, 209);(244, 46, 5, 152, 146, 240, 207, 199);(156, 91, 191, 139, 7, 209, 219, 104);(156, 91, 191, 139, 7, 209, 219, 104)
HK17;28;64-bits KEM - HK17-O-64 - 8-bits version;16;(85, 52, 162, 117, 196, 221, 87, 29);(35, 219, 48, 122, 242, 152, 23, 241);57;78;206;68;[(221, 15), (15, 14), (145, 13), (149, 12), (58, 11), (102, 10), (9, 9), (56, 8), (155, 7), (246, 6), (164, 5), (116, 4), (224, 3), (62, 2), (214, 1), (87, 0)];[(9, 15), (219, 14), (58, 13), (35, 12), (244, 11), (153, 10), (143, 9), (151, 8), (52, 7), (185, 6), (111, 5), (185, 4), (8, 3), (148, 2), (161, 1), (112, 0)];(146, 44, 46, 94, 91, 206, 54, 33);(30, 207, 183, 206, 226, 235, 93, 54);(121, 37, 237, 183, 81, 204, 221, 183);(121, 37, 237, 183, 81, 204, 221, 183)
HK17;29;64-bits KEM - HK17-O-64 - 8-bits version;16;(97, 236, 194, 151, 2, 226, 34, 199);(43, 3, 121, 90, 222, 93, 77, 186);84;94;95;20;[(219, 15), (79, 14), (60, 13), (29, 12), (169, 11), (42, 10), (4, 9), (192, 8), (119, 7), (238, 6), (69, 5), (186, 4), (87, 3), (103, 2), (57, 1), (151, 0)];[(152, 15), (150, 14), (47, 13), (150, 12), (211, 11), (143, 10), (163, 9), (216, 8), (218, 7), (107, 6), (165, 5), (52, 4), (211, 3), (13, 2), (52, 1), (170, 0)];(20, 158, 226, 102, 241, 239, 112, 126);(170, 131, 88, 183, 138, 86, 126, 142);(29, 216, 59, 80, 85, 11, 98, 143);(29, 216, 59, 80, 85, 11, 98, 143)
HK17;30;64-bits KEM - HK17-O-64 - 8-bits version;16;(179, 236, 208, 75, 96, 154, 1, 168);(72, 90, 224, 1, 124, 69, 104, 156);177;165;173;212;[(116, 15), (118, 14), (39, 13), (117, 12), (238, 11), (44, 10), (140, 9), (9, 8), (245, 7), (107, 6), (75, 5), (65, 4), (97, 3), (245, 2), (190, 1), (60, 0)];[(11, 15), (133, 14), (8, 13), (97, 12), (99, 11), (173, 10), (95, 9), (33, 8), (67, 7), (7, 6), (243, 5), (151, 4), (5, 3), (139, 2), (149, 1), (24, 0)];(208, 172, 134, 129, 156, 184, 139, 220);(206, 227, 113, 87, 237, 105, 166, 27);(46, 79, 13, 190, 171, 90, 65, 48);(46, 79, 13, 190, 171, 90, 65, 48)
HK17;31;64-bits KEM - HK17-O-64 - 8-bits version;16;(168, 181, 16, 54, 53, 122, 179, 84);(152, 223, 63, 121, 123, 52, 23, 50);186;222;205;162;[(208, 15), (164, 14), (193, 13), (241, 12), (222, 11), (26, 10), (165, 9), (18, 8), (1, 7), (244, 6), (201, 5), (79, 4), (181, 3), (22, 2), (220, 1), (213, 0)];[(22, 15), (33, 14), (177, 13), (75, 12), (218, 11), (245, 10), (10, 9), (185, 8), (175, 7), (240, 6), (226, 5), (149, 4), (210, 3), (184, 2), (120, 1), (217, 0)];(199, 78, 237, 86, 11, 96, 195, 122);(173, 28, 245, 72, 113, 243, 44, 151);(159, 110, 114, 186, 244, 186, 70, 97);(159, 110, 114, 186, 244, 186, 70, 97)
HK17;32;64-bits KEM - HK17-O-64 - 8-bits version;16;(54, 213, 216, 47, 176, 179, 15, 239);(135, 98, 29, 218, 103, 67, 225, 206);31;95;97;55;[(183, 15), (4, 14), (209, 13), (43, 12), (34, 11), (183, 10), (88, 9), (68, 8), (211, 7), (14, 6), (33, 5), (173, 4), (42, 3), (157, 2), (18, 1), (227, 0)];[(179, 15), (163, 14), (75, 13), (29, 12), (31, 11), (170, 10), (98, 9), (132, 8), (181, 7), (147, 6), (69, 5), (36, 4), (238, 3), (127, 2), (78, 1), (232, 0)];(158, 214, 103, 188, 229, 219, 126, 137);(48, 152, 109, 143, 215, 157, 142, 181);(57, 141, 118, 72, 135, 203, 9, 49);(57, 141, 118, 72, 135, 203, 9, 49)
HK17;33;64-bits KEM - HK17-O-64 - 8-bits version;16;(17, 155, 77, 186, 103, 242, 147, 96);(138, 24, 28, 146, 182, 146, 45, 166);210;93;207;35;[(242, 15), (120, 14), (146, 13), (36, 12), (210, 11), (250, 10), (175, 9), (40, 8), (159, 7), (187, 6), (185, 5), (136, 4), (79, 3), (104, 2), (119, 1), (227, 0)];[(161, 15), (139, 14), (86, 13), (226, 12), (98, 11), (101, 10), (124, 9), (38, 8), (231, 7), (30, 6), (209, 5), (66, 4), (16, 3), (42, 2), (58, 1), (189, 0)];(233, 198, 188, 237, 121, 112, 13, 187);(27, 76, 137, 229, 242, 80, 76, 162);(26, 134, 200, 146, 20, 17, 238, 17);(26, 134, 200, 146, 20, 17, 238, 17)
HK17;34;64-bits KEM - HK17-O-64 - 8-bits version;16;(58, 161, 94, 177, 88, 213, 147, 243);(187, 17, 201, 41, 207, 127, 215, 116);186;48;188;255;[(128, 15), (21, 14), (8, 13), (51, 12), (130, 11), (123, 10), (167, 9), (79, 8), (250, 7), (227, 6), (46, 5), (119, 4), (155, 3), (62, 2), (190, 1), (163, 0)];[(80, 15), (89, 14), (233, 13), (54, 12), (93, 11), (38, 10), (9, 9), (18, 8), (192, 7), (245, 6), (148, 5), (73, 4), (89, 3), (53, 2), (39, 1), (61, 0)];(35, 208, 64, 216, 174, 75, 169, 113);(74, 81, 55, 16, 93, 195, 237, 204);(146, 177, 30, 8, 188, 178, 59, 152);(146, 177, 30, 8, 188, 178, 59, 152)
HK17;35;64-bits KEM - HK17-O-64 - 8-bits version;16;(87, 153, 212, 205, 3, 46, 34, 93);(129, 13, 118, 90, 63, 145, 41, 139);123;204;12;100;[(112, 15), (202, 14), (65, 13), (62, 12), (63, 11), (55, 10), (29, 9), (214, 8), (64, 7), (246, 6), (153, 5), (107, 4), (99, 3), (37, 2), (46, 1), (34, 0)];[(217, 15), (126, 14), (167, 13), (109, 12), (164, 11), (62, 10), (63, 9), (111, 8), (194, 7), (54, 6), (7, 5), (116, 4), (163, 3), (71, 2), (186, 1), (123, 0)];(103, 18, 47, 160, 89, 110, 210, 34);(30, 217, 196, 8, 14, 130, 211, 65);(190, 130, 105, 42, 31, 74, 166, 54);(190, 130, 105, 42, 31, 74, 166, 54)
HK17;36;64-bits KEM - HK17-O-64 - 8-bits version;16;(143, 164, 27, 43, 102, 122, 51, 115);(111, 84, 113, 89, 210, 158, 36, 210);219;14;142;67;[(150, 15), (125, 14), (95, 13), (237, 12), (119, 11), (126, 10), (169, 9), (37, 8), (230, 7), (94, 6), (242, 5), (68, 4), (162, 3), (76, 2), (43, 1), (197, 0)];[(9, 15), (94, 14), (74, 13), (135, 12), (128, 11), (195, 10), (17, 9), (132, 8), (229, 7), (137, 6), (195, 5), (44, 4), (209, 3), (176, 2), (244, 1), (48, 0)];(174, 203, 176, 215, 134, 31, 96, 13);(48, 71, 121, 37, 89, 37, 157, 163);(70, 57, 246, 206, 185, 78, 54, 213);(70, 57, 246, 206, 185, 78, 54, 213)
